,"Item","Description","Type","Cost","Price","Sales Tax Code","Quantity On Hand","Quantity On Sales Order","Reorder Pt (Min)","Quantity On Purchase Order","Preferred Vendor"
,"WT-DDR3-8GB","Wide Temperature 8G DDR3 Memory, -40 -85°C Operating Temperature","Service",0.00,0.00,"Non","","","","",
,"Accessory","Accessory and parts","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Accessory:303-13200005-000","303-13200005-000..Screw, M3, P, L5, Ni, Nylok...Carbon Steel; Ni; Phi #2; Chai-Thai_PMS 3X5NI+18...","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:303-33500010-000","303-33500010-000..Spring Screw, M3, I, L10, Ni, Nylok...Carbon Steel; Ni; Phi #1...Package of 10...","Inventory Part",15.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-10208GC-Chassis-NTA(EA)","AccsyBx-10208GC-Chassis-NTA(EA)..Accessory box kit for Nuvo-10208GC include chassis, chassis bra...","Inventory Part",232.00,290.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-2port PCIe LP bracket","AccsyBx-two port PCIe low profile bracket..Accessory bracket kits for PCIe-PoE572bt. Industrial ...","Inventory Part",8.00,10.00,"Tax",20,10,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-3PTB-N10208","AccsyBx-3PTB-N10208..Accessory box kit include 3PTB*20 and pizza box_N10208.","Inventory Part",40.00,50.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-3PTB-N25_N24_EDX104_P30","AccsyBx-3PTB-N25_N24_EDX104_P300..Terminal Block*10 for Nuvo-2500 & 2400 Series, EDX-104 and POC...","Inventory Part",10.00,12.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-3PTB-SM13_ N8034","AccsyBx-3PTB-SM13_ N8034..Terminal Block for SEMIL-1300 Series and Nuvo-8034.","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-6AntiVG-POC-551VTC","AccsyBx-6AntiVG-POC-551VTC..Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","Inventory Part",6.00,8.00,"Tax",0,135,"",135,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder-10108GC-03","AccsyBx-Cardholder-10108GC-03..Nuvo-10108GC GPU bracket kit for selected 250W-360W GPU.","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder-10108GC-5080","AccsyBx-Cardholder-10108GC-5080_70_70Ti..Nuvo-10108GC GPU bracket kit for MSI RTX 5080,5070,5070...","Inventory Part",16.00,20.00,"Tax",1,17,"",16,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder-10208GC","AccsyBx-Cardholder-10208GC..GPU holding bracket for Nuvo-10208GC.","Inventory Part",16.00,20.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder-10208GC-5080","AccsyBx-Cardholder-10208GC-5080_70_70Ti..Nuvo-10208GC GPU bracket kit for MSI RTX 5080,5070,5070...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder10108GC-4070S","AccsyBx-Cardholder-10108GC-4070S..Nuvo-10108GC GPU bracket kit for selected RTX 4070 Super.","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder10108GC-4080S","AccsyBx-Cardholder-10108GC-4080S..Nuvo-10108GC GPU bracket kit for selected RTX 4080 Super.","Inventory Part",16.00,20.00,"Tax",7,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Cardholder2080-6108GC","AccsyBx-Cardholder2080-6108GC Nuvo-6108GC..Card Holder Kit for EVGA RTX2080 GPU includes holding...","Inventory Part",6.00,8.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-351VTC70","AccsyBx-Chassis-351VTC70..POC-351VTC-MTA  Front Panel, chassis, bottom cover, right cover, screw...","Inventory Part",75.00,94.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-6108GC-IGN","AccsyBx-Chassis-6108GC-IGN..Chassis accessory box kits for Nuvo-6108GC-IGN, include Nuvo-6108GC-...","Inventory Part",144.00,270.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-7501","Chassis accessory for Nuvo-7501,..include Nuvo-7501 chassis, screw, and plastic hole plugs. Indu...","Inventory Part",48.00,60.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-FLYC-300-EC","AccsyBx-Chassis-FLYC-300-EC..Chassis accessory box kits for FLYC-300-EC, including FLYC-300-EC c...","Inventory Part",24.00,30.00,"Tax",0,10,"",10,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-HS-8108GC","AccsyBx-Chassis-HS-8108GC..Chassis accessory box kits for Nuvo-8108GC, include Nuvo-8108GC Chass...","Inventory Part",193.00,340.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N","AccsyBx-Chassis-Nuvo-8108GC-QD-A6-NTA..Chassis accessory box kits for Nuvo-8108GC-QD-A6, include...","Inventory Part",160.00,200.00,"Tax",18,18,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-Nuvo-9531-NTA","AccsyBx-Chassis-Nuvo-9531-PoE-IGN-NTA..Chassis accessory box kits for Nuvo-9531-PoE-IGN, include...","Inventory Part",73.00,91.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-POC-351VTC","AccsyBx-Chassis-POC-351VTC..Chassis accessory box kits for POC-351VTC, include POC-351VTC chassi...","Inventory Part",64.00,80.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-POC-351VTC-70-Z","AccsyBx-Chassis-POC-351VTC-70-ZeroV..Chassis accessory box kits for POC-351VTC-70, include POC-3...","Inventory Part",0.00,0.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-POC-351VTC-Zero","AccsyBx-Chassis-POC-351VTC-ZeroV..Chassis accessory box kits for POC-351VTC, include POC-351VTC ...","Inventory Part",0.00,0.00,"Tax",5,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Chassis-POC-551VTC-Zero","AccsyBx-Chassis-POC-551VTC-ZeroV..Chassis accessory box kits for POC-551VTC, include POC-551VTC ...","Inventory Part",0.00,0.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-FLYC-300","AccsyBx-FAN-FLYC-300..Fan assembly for FLYC-300. Industrial Computer Accessory.","Inventory Part",16.00,20.00,"Tax",0,27,"",27,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-NRU-100","AccsyBx-FAN-NRU-100..Fan assembly for NRU-100 series, includes fan, fan frame, fan filter, fan c...","Inventory Part",24.00,30.00,"Tax",0,1,"",2,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-NRU-50","AccsyBx-FAN-NRU-50..Fan kit for NRU-50 series, including 92x92mm fan, fan frame, fan cable cover...","Inventory Part",28.00,35.00,"Tax",5,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-Nuvo-2822","AccsyBx-FAN-Nuvo-2822..Fan assembly for Nuvo-2822 series, 80x80x15 mm. Industrial Computer Acces...","Inventory Part",6.00,7.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-Nuvo-7531","AccsyBx-FAN-Nuvo-7531..Fan assembly for Nuvo-7531 series, 92x92x25 mm. Industrial Computer Acces...","Inventory Part",32.00,40.00,"Tax",6,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-Nuvo-8208GC","AccsyBx-FAN-Nuvo-8208GC..Fan kit for Nuvo-8208GC include fan, fan bracket, screw.  Industrial Co...","Inventory Part",47.00,59.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-Nuvo10208GC","AccsyBx-FAN-Nuvo10208GC..Fan assembly for Nuvo-10208GC series, 92x92x25 mm. Industrial Computer ...","Inventory Part",40.00,50.00,"Tax",8,10,"",10,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-Nuvo9531_9501","AccsyBx-FAN-Nuvo9531_9501..Fan assembly for Nuvo-9531 series, 92x92x25 mm. Industrial Computer A...","Inventory Part",32.00,40.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-POC-545","AccsyBx-FAN-POC-545..Accessory for POC-545 includes fan, fan frame, fan cable cover, and screw. ...","Inventory Part",24.00,30.00,"Tax",3,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FAN-POC-700","AccsyBx-FAN-POC-700..Fan assembly for POC-700 series, 80x80x15 mm. Industrial Computer Accessory.","Inventory Part",24.00,30.00,"Tax",118,100,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FP_3A-C_K-NRU230V-NTA","AccsyBx-FPnl_3Ant-Cbl_Kits-NRU-230V-AWP-NTA..Accessory box kit for NRU-230V-AWP, including O-Rri...","Inventory Part",122.00,152.00,"Tax",0,2,"",2,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FP_5A-C_K-NRU230V-NTA","AccsyBx-FPnl_5Ant-Cbl_Kits-NRU-230V-AWP-NTA..Accessory box kit for NRU-230V-AWP, including O-Rri...","Inventory Part",138.00,172.00,"Tax",0,1,"",1,"Neousys Technology Incorp."
,"Accessory:AccsyBx-FP_M_C_K-NRU230VAWP-NTA","AccsyBx-FPnl_Mod_Cbl_Kits-NRU-230V-AWP-NTA..Accessory box kit for NRU-230V-AWP, including mPCIeH...","Inventory Part",152.00,190.00,"Tax",3,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-HDDFoam-BP","AccsyBx-HDDFoam-BP..Accessory box kit includes HDD Foam x 50 and pizza box.","Inventory Part",10.00,12.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Hldr-CPU-Nuvo5000","AccsyBx-Hldr-CPU-Nuvo5000..Accessory box kits for Nuvo-5000 CPU Holder and Screw.","Inventory Part",7.00,9.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-INST-Nuvo6108GCTi","AccsyBx-INST-Nuvo6108GCTi..Nuvo-6108GC-Ti INST Kit, included Card Holder_B, Rubber Footx4, Rubbe...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-NRU-156U3-FT-NTA","AccsyBx-NRU-156U3-FT-NTA..Accessory box kits for NRU-156U3-FT-NTA excluding MB. Industrial Compu...","Inventory Part",88.00,110.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-NRU-222S-NTA","AccsyBx-NRU-222S-NTA..Accessory box kits for NRU-222S includes front panel, back panel, Housing ...","Inventory Part",68.00,85.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-NRU-230V-AWP-NTA","AccsyBx-NRU-230V-AWP-NTA..Accessory box kit for NRU-230V-AWP-NTA , including Wall Mount Bracket,...","Inventory Part",46.00,58.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvis-5306RT","AccsyBx-Nuvis-5306RT..Accessory Box for Nuvis-5306RT, include DVD, screw, thermal pad, terminal ...","Inventory Part",64.00,80.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-10208GC-3PTB","AccsyBx-Nuvo-10208GC-3PTB..Accessory box kit inculde 3PTB*20 and pizza box_N10208.","Inventory Part",40.00,50.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-10208GC-4PTB","AccsyBx-Nuvo-10208GC-4PTB..Accessory box kit include 4PTB*20 and pizza box_N10208.","Inventory Part",56.00,70.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-10208GC-Chassis-ZV","AccsyBx-Nuvo-10208GC-Chassis-ZeroV..Nuvo-10208GC Chassis","Inventory Part",0.00,0.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-5000E/P","AccsyBx-Nuvo-5000E/P..Standard accessory box kits for Nuvo-5000E/P include DVD, CPU holder, scre...","Inventory Part",13.00,16.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-5501","AccsyBx-Nuvo-5501 ..Standard accessory box kits for Nuvo-5501 include DVD, CPU Holder, Screw, Te...","Inventory Part",14.00,18.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-6032","AccsyBx-Nuvo-6032..Accessory box kits for Nuvo-6032 series include box, foam, DVD, terminal bloc...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-6108GC","AccsyBx-Nuvo-6108GC..Standard accessory box kits for Nuvo-6108GC include Cable Wafer, Anti-Vibra...","Inventory Part",44.00,55.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-7000EP","AccsyBx-Nuvo-7000EP..Standard accessory box for Nuvo-7000E/P series include DVD, CPU Holder, Scr...","Inventory Part",16.00,20.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-7000LP","AccsyBx-Nuvo-7000LP..Accessory box kits for Nuvo-7000LP series include DVD, terminal block, scre...","Inventory Part",24.00,30.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-7160GC","AccsyBx-Nuvo-7160GC..Accessory box for Nuvo-7160GC series include DVD, terminal block, screw, wa...","Inventory Part",20.00,25.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-7166GC","AccsyBx-Nuvo-7166GC..Accessory box for Nuvo-7166GC series include DVD, terminal block, screw, wa...","Inventory Part",18.00,23.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-7208VTC-NTA(EA)","AccsyBx-Nuvo-7208VTC-NTA(EA)..Accessory box kit for Nuvo-7208VTC includes CPU holder, wall mount...","Inventory Part",28.00,35.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-8108GC","AccsyBx-Nuvo-8108GC..Accessory box kit for Nuvo-8108GC series include DVD, terminal block, screw...","Inventory Part",48.00,60.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-8208GC","AccsyBx-Nuvo-8208GC..Accessory box for Nuvo-8208GC series include DVD, terminal block, screw, wa...","Inventory Part",64.00,80.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-8208TB","AccsyBx-Nuvo-8208TB..Accessory box kit include Terminal Block*20 and pizza box for Nuvo-8208GC.","Inventory Part",48.00,60.00,"Tax",0,1,"",1,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-9006DE-G4","AccsyBx-Nuvo-9006DE-G4..Accessory box kits for Nuvo-9006DE for MezIO-G4, include Nuvo-9000DE_G4 ...","Inventory Part",26.00,32.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-9006LP-KS2-BP(EA)","AccsyBx-Nuvo-9006LP-KS2-BP(EA)..Accessory box kits for Nuvo-9006LP-KS2, include Nuvo-9006LP-KS2 ...","Inventory Part",40.00,75.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-Nuvo-9531-PoE-IGN","AccsyBx-Nuvo-9531-PoE-IGN..Accessory box kits for Nuvo-9531-PoE-IGN include box, terminal block,...","Inventory Part",24.00,30.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-PB-9250-SA","AccsyBx-PB-9250-SA..Accessory box kits for PB-9250-SA include cable, terminal block, screw, din ...","Inventory Part",10.00,12.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-POC-451VTC-NTA","AccsyBx-POC-451VTC-NTA..Accessory box kit for POC-451VTC ..include Tested PCBA and Pizza box for...","Inventory Part",83.00,104.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-POC-551VTC-GLE","AccsyBx-POC-551VTC-GLE..Accessory box kits for POC-551VTC-GLE includes customized front panel, b...","Inventory Part",19.00,30.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-POC-551VTC-LME","AccsyBx-POC-551VTC-LME..AccsyBx-POC-551VTC-LME. Industrial computer accessory.","Inventory Part",112.00,140.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-RP_M_C_K-NRU240SAWP-NTA","AccsyBx-RPnl_Mod_Cbl_Kits-NRU-240S-AWP-NTA..Accessory box kit for NRU-240S-AWP, including mPCIeH...","Inventory Part",70.00,88.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-RPnl-SEMIL-1301-SIL4","AccsyBx-RPnl-SEMIL-1301-SIL4..Accessory box kit for SEMIL-1301-SIL4, including customized Rear P...","Inventory Part",30.00,45.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-SplicingConnector","AccsyBx-SplicingConnector..Accessory box kits for Splicing Connector 2-Pole, included 10pcs. Ind...","Inventory Part",8.00,10.00,"Tax",0,2,"",2,"Neousys Technology Incorp."
,"Accessory:AccsyBx-STD-9002DE","AccsyBx-STD-9002DE..Standard accessory box kits for Nuvo-9002DE, including CPU holder, screw, te...","Inventory Part",40.00,50.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-TB-3Pole-Nuvo","AccsyBx-TB-3Pole-Nuvo..Accessory box kit includes 3Pole-Nuvo3_5_7_Terminal Block*20 and pizza box.","Inventory Part",18.00,22.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-TB-4Pole-POC-40","AccsyBx-TB-4Pole-POC-40..Accessory box kit includes 20pcs 4-Pole(2x2)Terminal Block for POC-40.","Inventory Part",19.00,24.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:AccsyBx-TB-8Pole","AccsyBx-TB-8Pole..Accessory box kit includes 8P Female 2.54mm ST Terminal Block*20 and pizza box.","Inventory Part",36.00,45.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Adapter-Active-DP-HDMI-BENFEI","Adapter-Active-DP-HDMI-BENFEI..Active DisplayPort to HDMI Adapter, 4K DisplayPort to HDMI Active...","Inventory Part",19.00,24.00,"Tax",33,20,"",25,"Neousys Technology Incorp."
,"Accessory:Adapter-Active-DP-VGA-BENFEI","Adapter-Active-DP-VGA-BENFEI..DisplayPort to VGA 6 Feet Cable Male to Male Gold-Plated Cord","Inventory Part",9.00,11.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Adapter-USB-TypeC-BA","Adapter-USB-TypeC-BA..USB 3.1 to type C adapter.","Inventory Part",8.00,11.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Ant-RP_SMAM-WiFi-108MM","Ant-RP_SMAM-WiFi-108MM..WiFi Antenna, Swivel type, Frequency 2.4/5.8 GHz, VSWR 2.0 : 1 Max., wit...","Inventory Part",5.00,6.00,"Tax",36,72,"",50,"Neousys Technology Incorp."
,"Accessory:Ant-RP_SMAM-WiFi-196MM","[Use P/N# Ant-RP_SMAM-WiFi-196MM1]..Ant-RP_SMAM-WiFi-196MM..WiFi Antenna, Swivel type, 2.4/5.8 G...","Inventory Part",5.00,6.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Ant-RP_SMAM-WiFi-196MM1","Ant-RP_SMAM-WiFi-196MM1..WiFi Antenna, Swivel type, Frequency: 2.4/5.8 GHz, VSWR: 2.5 : 1 Max, w...","Inventory Part",5.00,6.00,"Tax",109,122,"",52,"Neousys Technology Incorp."
,"Accessory:Ant-SMAM-5G","Ant-SMAM-5G..5G Antenna, 600-6000 MHz, SMA PLUG...","Inventory Part",5.00,6.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Ant-SMAM-GPS-300CM","Ant-SMAM-GPS-300CM..GNPS antenna, Frequency 1575.42 +-1.023MHz, Gain 27dBi, SW 2.1:1 Max., Polar...","Inventory Part",9.00,11.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"Accessory:Ant-SMAM-LTE","Ant-SMAM-LTE..LTE Antenna- Frequency 698-960, 1710-2170, 2300-2700MHz. VSWR 4.0:1 Max. Polarizat...","Inventory Part",5.00,6.00,"Tax",127,2,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna-RPSMAM-WiFi (Long)","[Use New P/N# Ant-RP_SMAM-WiFi-196MM] WiFi Antenna- 2.4/5.8 GHz, swivel type with RP SMA(F), 196...","Inventory Part",4.00,6.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna-RPSMAM-WiFi (Short)","[Use New P/N# Ant-RP_SMAM-WiFi-108MM] WiFi Antenna- 2.4/5.8 GHz, swivel type with RP SMA(F), 108...","Inventory Part",5.00,6.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna-SMAM-GPS-3M","[Use New P/N# Ant-SMAM-GPS-300CM] GPS antenna, Frequency 1575.42 +-1.023MHz, Gain 27 dBi, SMA(Ma...","Inventory Part",8.00,11.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna-SMAM-LTE","[Use New P/N#  Ant-SMAM-LTE] LTE Antenna, Frequency 698-960, 1710-2170, 2300-2700MHz, VSWR: 4.0 ...","Inventory Part",5.00,6.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna Set- WiFi","[Use New P/N# Antkits-MHF_Ant-Wifi-Nuvo] Wi-Fi antenna set- 1x Internal IPEX to SMA(F) cable, 1x...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna Set-GPS (M.2)","[Use New P/N# Antkits-MHF4_Ant-GPS-Nuvo] 1x Internal IPEX4.0 to SMA(F) cable and 1x Passive GPS ...","Inventory Part",11.00,15.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antenna set-LTE (M.2)","[Use New P/N# Antkits-MHF4_Ant-LTE] 1x Internal IPEX 4.0 to SMA(F) cable and 1x LTE Antenna.","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antkits-MHF_Ant-GPS-Nuvo","Antkits-MHF_Ant-GPS-Nuvo..Antenna kits include GSM Cable, I-PEX MHF(Female) to SMA (Female) leng...","Inventory Part",12.00,15.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antkits-MHF_Ant-GPS-POC","Antkits-MHF_Ant-GPS-POC..Antenna kits include GSM Cable, I-PEX MHF(Female) to SMA (Female) lengt...","Inventory Part",12.00,15.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antkits-MHF_Ant-LTE","Antkits-MHF_Ant-LTE..Antenna kits include LTE Cable, I-PEX MHF(Female) to SMA (Female) length 30...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antkits-MHF_Ant-Wifi-Nuvo","Antkits-MHF_Ant-Wifi-Nuvo..Antenna kits includes WiFi Cable I-PEX MHF(F) to RP SMA(F) length 30c...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Accessory:Antkits-MHF_Ant-Wifi-POC","Antkits-MHF_Ant-Wifi-POC..Antenna kits includes WiFi Cable I-PEX MHF(F) to RP SMA (F) length 15c...","Inventory Part",8.00,10.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
